,,,,,,,,,,,,,
ID,Group,Age,OF Binge,Perfusion Day ,7/6/25 - 3 PM,7/6/25 - 11 PM,7/7/25 - 7 AM,7/7/25 - 3 PM,7/7/25 - 11 PM,7/8/25 - 7 AM,Day 1 Avg,Day 2 Avg,Notes
3,EtOH,Aged,1,T38,0,1,3,4,3,4,2.00,3.67,
4,EtOH,Aged,1,T38,0,1,2,3,3,3,1.50,3.00,
7,EtOH,Adult,1,T38,0,0,4,3,3,3,2.00,3.00,
8,EtOH,Adult,1,T38,0,0,3,2,2,2,1.50,2.00,
11,EtOH,Aged,1,T38,0,1,3,2,3,2,2.00,2.33,
12,EtOH,Aged,1,T38,0,0,4,3,3,3,2.00,3.00,
15,EtOH,Adult,1,T38,0,1,1,3,3,3,1.00,3.00,
16,EtOH,Adult,1,T38,0,0,3,3,2,2,1.50,2.33,
19,EtOH,Aged,1,T38,0,3,3,3,2,3,3.00,2.67,
20,EtOH,Aged,1,T38,0,2,2,3,3,2,2.00,2.67,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,